,NDX,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CDW,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,EXPE,FB,FAST,FISV,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KLAC,KHC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,XLNX
1/2/19,6360.870117,46.35038,224.570007,18.83,98.050003,202.119995,1054.680054,1045.849976,1539.130005,179.889648,82.48642,143.009995,38.505024,32.439888,152.457047,128.960007,124.489594,162.25,304.690002,84.959999,1721.699951,233.472717,43.23,77.292572,50.919216,287.98999,103.5,163.799438,40.057236,99.700653,61.279446,32.970955,47.68,195.542664,60.311108,115.18,40.82,91.199997,28.017921,80.263054,41.154854,110.296707,135.679993,24.078911,72.209999,58.706078,182.460007,294.519989,63.560001,44.549191,191.181107,466.029999,21.27,86.917099,38.927685,133.200256,21.360001,20.700001,123.349998,105.518723,47.961525,298.01001,69.042465,32.75,98.375481,15.33,38.212677,48.759998,43.965923,267.660004,135.466537,73.180298,341.149994,53.72641,60.658604,85.75,103.125862,22.209999,53.972286,372.440002,82.688972,57.490002,5.786908,65.426933,103.32,61.596466,84.050003,65.260002,104.010002,62.023998,88.709663,27.59,247.970001,147.759995,107.214745,164.080002,62.573547,159.740005,36.312473,45.739101,84.360565
1/3/19,6147.129883,44.704514,215.699997,17.049999,100.209999,184.779999,1025.469971,1016.059998,1500.280029,177.152435,77.50383,137.639999,34.66964,30.560156,144.048981,121.849998,120.730247,154.710007,307,84.199997,1663.119995,212.705109,41.529999,75.300957,49.77066,287.5,102.349998,161.178482,38.600437,98.266739,59.34655,33.229969,46.889999,191.398041,59.366772,112.260002,38.830002,90.760002,27.503208,78.605255,41.201546,106.88871,131.740005,23.395092,70.110001,60.381016,178.020004,284.23999,68.059998,42.098412,185.331711,450.23999,20.35,82.041107,38.900742,126.776184,21.389999,20.57,124.360001,99.902061,45.235149,296.589996,64.175125,31,94.756454,15.5,38.068985,48,42.274185,271.200012,127.282051,70.195755,346.130005,52.482143,59.63319,82.089996,102.163307,21.52,52.373806,372.079987,81.998093,56.369999,5.826141,58.456806,100.809998,58.924603,81.110001,65.019997,99.150002,60.071999,83.47818,26.959999,243.360001,142.589996,103.938583,163.729996,61.920597,154.020004,33.835327,45.558868,81.184296
1/4/19,6422.669922,46.488358,226.190002,19,106,186.710007,1078.069946,1070.709961,1575.390015,183.208115,79.385506,143.660004,36.149662,32.653057,150.281891,128.279999,125.54187,160.949997,318.329987,87.099998,1717.550049,214.795639,43.259998,76.033157,51.272621,302.73999,105.349998,168.757721,40.339195,100.120094,61.871937,34.352345,48.560001,196.956039,61.128887,116.239998,40.900002,92.889999,28.134462,84.307655,41.668476,111.390015,137.949997,24.355249,73.220001,63.15715,187.429993,302.690002,72.269997,44.68166,192.685211,471.679993,22.27,87.28997,39.960609,132.969086,22.77,21.98,128.550003,105.862404,47.225689,315.329987,66.778145,32.700001,99.163513,16.959999,39.12273,49.790001,43.967842,297.570007,135.436707,73.589943,341.820007,54.81282,61.711998,86.269997,104.258286,22.690001,53.220055,397.549988,84.228653,59.540001,6.051732,61.258331,108.040001,60.878227,83.900002,67.489998,101.699997,63.537998,87.253868,28.549999,255.029999,148.970001,108.527161,172.699997,63.98061,163.350006,35.268467,46.004688,84.943359
1/7/19,6488.25,47.799141,229.259995,20.57,107.940002,189.919998,1075.920044,1068.390015,1629.51001,185.673523,79.88472,147.320007,36.069202,33.234413,153.715317,132.720001,124.862686,162.600006,322.399994,90.190002,1711.819946,219.170212,43.419998,75.730515,50.978119,301.470001,104.870003,169.041351,40.611755,100.520035,61.774811,33.987812,48.830002,197.681808,60.797886,129.949997,41.689999,97.959999,28.620035,87.473434,41.743179,112.837914,138.050003,24.533228,73.07,63.444023,186.889999,307.890015,74.209999,44.889828,195.624649,478.440002,22.76,88.532875,40.715088,134.153717,21.68,21.040001,134.100006,106.058792,47.716251,328.940002,68.732819,34,99.28997,16.27,39.390961,49.73,45.831806,315.339996,142.606812,74.136139,339.690002,54.747826,61.385735,86.93,103.361786,23.209999,53.069607,396.630005,87.771904,62.919998,6.100773,62.086281,112.900002,60.878227,85.760002,68.440002,104.410004,66.991997,88.75663,29.18,271,151.399994,108.635696,175.850006,64.348488,163.5,36.521275,45.8055,87.187141
1/8/19,6551.850098,49.247898,232.679993,20.75,108.610001,192.949997,1085.369995,1076.280029,1656.579956,188.05455,81.833595,148.050003,36.756794,31.887592,152.583847,133.869995,125.599243,163.399994,324.440002,92.300003,1686.920044,217.411194,43.669998,78.36647,52.156128,300.709991,107.57,170.870132,40.940712,101.300392,62.474144,34.26601,49.630001,199.162079,61.674068,131.520004,42.080002,98.599998,29.134752,88.901535,42.387539,115.211693,142.529999,25.170212,73.550003,63.00909,189.289993,293.75,74.900002,45.173706,200.313965,482.98999,22.950001,87.127426,40.751015,131.880753,20.76,20.280001,135.860001,107.777176,46.999271,328.48999,70.600403,33.740002,100.009888,16.950001,40.310589,52.830002,46.390606,320.269989,139.05658,74.555534,336.070007,55.277096,61.851833,88.699997,104.352654,24,52.608871,397.26001,90.347916,67.230003,6.228281,62.760193,115.089996,60.926102,86.099998,67.769997,107.919998,67.07,88.643913,29.48,276,156.919998,109.60276,178.190002,65.636009,166.949997,36.170105,46.336685,85.526176
1/9/19,6600.689941,50.09547,235.429993,20.190001,109.959999,200.320007,1081.650024,1074.660034,1659.420044,187.829559,83.907272,150.639999,37.380985,33.234413,158.914276,136.770004,125.71402,166.639999,326.630005,90.860001,1649.48999,226.814194,43.849998,79.40136,52.450626,297.640015,107.5,172.366425,40.715141,102.246567,62.415863,34.592171,50.299999,200.451279,62.287403,138.75,42.669998,97.169998,29.416391,88.791687,42.042015,112.897018,144.229996,25.240467,73.32,62.870293,192.220001,305.23999,73.699997,45.429184,199.693222,517.109985,23.690001,89.374222,40.535454,138.690048,20.91,20.34,136,107.227295,48.272842,339.959991,73.396919,35.439999,101.439995,16.33,40.166897,53.330002,49.458317,319.959991,141.791367,77.969261,343.540009,54.441402,61.814541,89.550003,101.436668,25.540001,53.229458,399.579987,89.163544,69.379997,5.94384,65.167,115.910004,61.175098,86.959999,67.720001,107.459999,67.706001,90.390877,30.18,281.190002,155.639999,110.017197,182.300003,66.426926,166.179993,37.764587,45.966747,86.293533
1/10/19,6620.939941,50.607952,237.770004,19.74,110.93,202.639999,1078.829956,1070.329956,1656.219971,189.99498,85.068916,152.600006,37.500465,33.680115,158.611908,136.710007,126.708885,168.350006,331.190002,93.940002,1677.329956,229.798111,44.32,79.99688,53.078892,292.670013,107.82,173.569305,40.639957,103.251274,62.950077,34.361931,50.599998,201.157959,62.97863,141.899994,44.029999,96.410004,29.688314,90.888893,42.761086,112.48333,144.199997,25.516806,74.379997,62.962814,192.720001,309.769989,75.120003,45.949623,203.043442,518.070007,23.4,89.594124,40.9576,139.239029,20.559999,19.790001,131.610001,108.061951,48.791702,339.589996,74.142036,35.91,100.788193,16.48,40.559662,53.259998,48.828697,324.660004,144.426727,78.057037,343.440002,54.933537,62.83997,90.699997,102.059494,26.379999,53.408112,408.059998,89.54847,71,5.953649,66.033455,116.699997,61.471973,87.82,67.959999,110,68.994003,91.78093,30.08,277.029999,157.759995,111.152016,186.029999,66.656837,167.960007,37.783577,46.735081,87.779686
1/11/19,6601.399902,45.867462,237.550003,20.27,111.129997,198.25,1064.469971,1057.189941,1640.560059,188.007675,86.460968,154.75,37.13229,33.699493,158.036407,136.740005,125.934036,166.110001,333.209991,94.459999,1665.890015,230.765137,44.450001,78.678886,52.89238,294.540009,105.389999,173.872482,40.87492,103.534172,63.056911,34.179672,50.66,201.033813,63.494602,141.100006,43.48,97.279999,29.532927,90.5793,42.761086,112.503029,143.800003,25.685419,74.099998,63.073864,192.910004,307.070007,74.650002,46.299736,203.132126,505.320007,22.879999,89.90007,40.966583,138.796005,20.91,20.34,132.160004,107.443321,49.867161,344.950012,74.635521,36.009998,100.009888,17,40.454285,54.369999,46.583893,337.589996,148.006775,77.520592,338.730011,55.193535,62.728104,90.650002,102.068939,26.16,54.066315,408.630005,90.022217,71.410004,5.953649,67.410172,117.169998,61.031448,87.709999,69,109.029999,69.452003,92.598045,29.82,284.109985,157.929993,110.53035,188.160004,65.948692,167.460007,37.992371,46.754047,88.313904
1/14/19,6541.040039,46.606625,234.559998,20.23,107.580002,193.940002,1051.51001,1044.689941,1617.209961,184.464264,84.003288,153.600006,36.573921,32.808079,154.7883,134.75,125.216606,163.029999,330.420013,93.150002,1692.880005,231.041397,44.380001,77.360901,53.049446,291.559998,104.300003,172.767395,40.611755,103.397606,62.775246,34.313976,49.919998,199.591812,63.543274,142.740005,43.220001,97.230003,29.338697,88.462128,42.060699,113.478157,145.389999,25.324774,73.879997,62.231766,189.789993,299.190002,73.540001,45.750908,202.146744,502.709991,22.040001,88.370338,41.541428,135.251678,21.4,20.879999,139.729996,106.17662,48.225666,339.769989,71.839005,34.669998,99.280251,16.74,40.693768,54.150002,45.944721,332.940002,149.607864,76.672035,341.149994,55.685673,62.672176,90.43,101.276245,24.370001,53.87825,400.730011,89.44976,70.339996,5.835949,65.802406,114.32,60.686695,87.410004,67.910004,104.980003,66.879997,90.47541,29.65,274.899994,157,109.711296,183.910004,64.973862,163.330002,36.122654,46.412563,87.964211
1/15/19,6669.640137,46.163128,242.360001,20.379999,111.730003,195.050003,1086.51001,1077.150024,1674.560059,186.901535,84.108887,156.160004,37.322472,32.7015,155.315002,135.880005,126.584526,167.929993,337.540009,94.93,1698.310059,236.217194,45.27,78.581268,53.451931,294,105.900002,173.627991,41.373055,104.782738,64.096214,34.371529,49.360001,201.530411,63.387512,147.050003,44.990002,95.949997,29.785431,89.370911,42.761086,114.975296,148.949997,25.568329,75.040001,63.407005,196.009995,305.480011,78.760002,45.987473,206.738541,515.460022,22.25,88.456375,42.134235,134.837524,21.92,21.41,141.130005,108.189598,48.763397,350.100006,72.584099,33.990002,102.15992,16.59,41.134434,54.759998,47.272839,354.640015,149.041031,76.145355,344.149994,55.31424,63.520489,91.599998,102.852196,24.41,52.402012,405.019989,89.666901,72.010002,5.865374,65.898689,117.879997,61.366634,88.470001,67.139999,106.489998,68.886002,91.696388,30.530001,278.48999,160.449997,111.132286,186.679993,66.02227,164.470001,35.761997,47.32317,88.595589
