"price","demand"
1.05,283
0.86,771
1.21,185
0.94,531
0.76,1002
0.81,713
0.78,731
0.88,645
0.87,732
0.85,926
0.92,559
0.94,345
1.16,399
0.87,831
1.22,269
0.97,665
0.93,320
1.06,303
1.04,490
1.22,390
0.92,703
0.86,826
0.9,659
1.17,471
1.19,212
0.77,1037
0.99,230
0.91,423
1.02,801
0.77,1008
1.03,249
0.9,476
1.25,311
1.08,522
0.99,862
0.9,797
0.93,739
0.82,925
1.15,392
0.92,519
1.22,347
1.16,501
1.08,438
0.81,787
1.14,294
1.2,315
0.96,550
1.17,378
1.01,570
1.11,389
1.06,618
1.21,270
0.93,796
1.2,374
1.08,336
1.04,506
1.09,110
1.08,358
1.23,409
0.96,933
1.07,498
1.04,384
1.17,343
0.98,450
0.84,731
1.09,87
0.79,989
1.23,164
0.97,585
1.2,341
0.82,925
1.09,545
1.13,375
1.1,679
1.15,405
0.84,981
1.06,445
0.94,750
0.77,1213
0.88,582
1.21,367
1.06,469
1.17,297
1.2,355
1.21,119
1.25,334
1.04,507
1.03,322
0.9,496
0.79,739
1.05,256
0.89,518
1.11,476
1.05,532
1.13,321
0.78,970
1.04,387
1.02,831
1.11,451
